Date,Open,High,Low,Close,Adj Close,Volume
1998-02-01,80.625000,85.953125,80.406250,85.593750,50.883625,13929600
1998-03-01,85.750000,90.062500,84.218750,88.187500,52.425549,14049200
1998-04-01,88.359375,92.109375,87.718750,90.875000,54.023201,11382000
1998-05-01,91.093750,92.578125,87.937500,88.843750,53.013634,9576200
1998-06-01,88.625000,91.250000,85.937500,89.687500,53.569565,10592600
1998-07-01,90.375000,93.625000,88.015625,88.531250,52.992958,6360600
1998-08-01,88.625000,88.921875,74.875000,74.875000,44.818649,16557300
1998-09-01,76.218750,81.875000,73.875000,78.187500,46.908543,15781500
1998-10-01,77.000000,88.000000,74.468750,86.031250,51.685913,17849200
1998-11-01,86.781250,94.093750,86.234375,90.812500,54.558441,8231000
1998-12-01,90.250000,93.531250,86.515625,91.531250,55.081257,11499900
1999-01-01,92.078125,96.625000,90.359375,93.281250,56.229443,11679600
1999-02-01,93.984375,96.125000,90.968750,92.890625,56.086563,10019000
1999-03-01,93.000000,100.750000,92.000000,97.750000,59.115940,11031300
1999-04-01,98.500000,109.562500,97.546875,107.625000,65.185463,36250100
1999-05-01,107.937500,111.500000,104.218750,105.140625,63.691723,32323000
1999-06-01,105.203125,110.250000,104.062500,109.375000,66.396477,14753600
1999-07-01,109.843750,112.625000,106.312500,106.343750,64.625954,12389700
1999-08-01,106.375000,113.750000,105.281250,108.250000,65.803795,20725400
1999-09-01,108.937500,111.875000,100.750000,103.625000,63.124027,22521000
1999-10-01,102.546875,108.000000,99.562500,107.562500,65.602470,26231800
1999-11-01,107.500000,111.218750,105.406250,108.687500,66.310661,13421900
1999-12-01,108.687500,115.718750,108.656250,115.187500,70.397316,11567700
2000-01-01,116.031250,117.500000,107.000000,109.500000,66.985825,28820600
2000-02-01,109.562500,111.187500,98.187500,101.562500,62.171028,29949700
2000-03-01,101.781250,112.468750,96.843750,109.437500,67.074280,46476800
2000-04-01,109.312500,114.531250,101.515625,107.562500,66.022781,53050400
2000-05-01,107.968750,109.781250,102.531250,105.312500,64.668938,24687100
2000-06-01,105.984375,108.968750,103.343750,104.375000,64.194252,18447600
2000-07-01,104.750000,109.093750,104.062500,105.000000,64.613731,11819200
2000-08-01,105.531250,113.328125,105.046875,112.468750,69.307602,16905200
2000-09-01,112.937500,114.093750,105.531250,106.625000,65.778801,17979400
2000-10-01,106.984375,109.921875,96.750000,109.406250,67.580841,36970200
