Date,Open,High,Low,Close,Adj Close,Volume
1993-08-01,236.419998,246.169998,236.339996,246.169998,246.169998,5484630000
1993-09-01,246.190002,252.949997,242.149994,252.949997,252.949997,5532330000
1993-10-01,252.949997,260.410004,252.300003,259.179993,259.179993,5941070000
1993-11-01,259.179993,260.170013,246.660004,250.410004,250.410004,5887230000
1993-12-01,250.410004,258.589996,249.330002,258.589996,258.589996,5791630000
1994-01-01,258.579987,266.730011,256.029999,266.519989,266.519989,6630060000
1994-02-01,266.519989,267.750000,258.809998,265.529999,265.529999,5852020000
1994-03-01,265.529999,271.079987,247.880005,251.059998,251.059998,7249580000
1994-04-01,251.059998,256.010010,241.949997,252.550003,252.550003,5734030000
1994-05-01,252.550003,255.000000,242.389999,249.279999,249.279999,5677520000
1994-06-01,249.279999,253.389999,238.220001,240.289993,240.289993,5849830000
1994-07-01,240.300003,245.979996,239.910004,244.059998,244.059998,4978990000
1994-08-01,241.779999,257.320007,241.779999,257.320007,257.320007,6405540000
1994-09-01,257.320007,260.290009,252.320007,256.119995,256.119995,6157520000
1994-10-01,256.119995,256.440002,247.970001,255.020004,255.020004,6350900000
1994-11-01,255.020004,255.039993,238.899994,244.250000,244.250000,6263410000
1994-12-01,244.250000,250.360001,233.889999,250.360001,250.360001,6353990000
1995-01-01,250.360001,253.130005,246.380005,246.850006,246.850006,6859170000
1995-02-01,246.850006,257.500000,246.850006,256.570007,256.570007,6336530000
1995-03-01,256.570007,261.549988,253.690002,260.769989,260.769989,7835090000
1995-04-01,260.600006,266.179993,259.619995,266.170013,266.170013,6310910000
1995-05-01,266.200012,273.850006,264.589996,270.250000,270.250000,7560450000
1995-06-01,270.250000,284.399994,270.230011,283.630005,283.630005,7553110000
1995-07-01,283.630005,299.720001,283.190002,299.720001,299.720001,7303150000
1995-08-01,299.730011,305.510010,295.209991,305.309998,305.309998,7148810000
1995-09-01,305.309998,316.980011,303.890015,310.380005,310.380005,7052830000
1995-10-01,310.380005,310.380005,291.260010,296.250000,296.250000,8047490000
1995-11-01,296.250000,308.579987,295.679993,308.579987,308.579987,7608370000
1995-12-01,308.579987,316.010010,303.380005,315.970001,315.970001,7699480000
1996-01-01,315.970001,316.890015,299.450012,315.380005,315.380005,9188050000
1996-02-01,315.380005,326.450012,315.190002,324.929993,324.929993,8763020000
1996-03-01,324.929993,331.519989,318.329987,330.769989,330.769989,8984200000
1996-04-01,330.769989,348.579987,328.329987,348.279999,348.279999,8876670000
1996-05-01,348.279999,364.959991,341.339996,361.850006,361.850006,8921140000
1996-06-01,361.850006,364.339996,339.279999,346.609985,346.609985,7928700000
1996-07-01,346.609985,347.829987,303.040009,316.000000,316.000000,8215250000
1996-08-01,316.000000,335.619995,316.000000,333.880005,333.880005,7380330000
1996-09-01,333.880005,346.540009,330.420013,346.390015,346.390015,8069760000
1996-10-01,346.390015,350.429993,337.709991,340.570007,340.570007,9709340000
1996-11-01,340.570007,354.290009,338.899994,354.109985,354.109985,8907810000
1996-12-01,354.109985,362.609985,348.450012,362.609985,362.609985,9089170000
1997-01-01,362.609985,373.170013,357.609985,369.450012,369.450012,11633910000
1997-02-01,369.450012,370.649994,358.410004,360.049988,360.049988,9718460000
1997-03-01,360.049988,367.869995,342.489990,342.559998,342.559998,10030610000
1997-04-01,342.570007,347.589996,335.179993,343.000000,343.000000,10461640000
1997-05-01,343.000000,380.760010,342.989990,380.760010,380.760010,10106660000
1997-06-01,380.760010,396.989990,380.589996,396.369995,396.369995,10857950000
1997-07-01,396.369995,414.640015,392.989990,414.480011,414.480011,11958120000
1997-08-01,414.480011,423.820007,406.170013,423.429993,423.429993,10606100000
1997-09-01,423.429993,453.820007,423.429993,453.820007,453.820007,11383000000
1997-10-01,454.420013,466.209991,405.369995,433.260010,433.260010,14017260000
1997-11-01,433.260010,444.929993,418.829987,429.920013,429.920013,10173620000
1997-12-01,429.920013,442.029999,412.679993,437.019989,437.019989,11958880000
1998-01-01,437.019989,438.170013,404.859985,430.049988,430.049988,12733830000
1998-02-01,430.049988,462.420013,430.049988,461.829987,461.829987,11656550000
1998-03-01,461.829987,480.679993,456.079987,480.679993,480.679993,13719590000
1998-04-01,480.679993,492.279999,466.029999,482.890015,482.890015,13656060000
